CustomerKey,Nombre,Apellido,NombreCompleto,Genero,Email,Primera Fecha De Compra,Ciudad
11067,Caleb,Carter,Caleb Carter,Masculine,caleb40@adventure-works.com,2023-08-18,Port Orchard
11068,Tiffany,Liang,Tiffany Liang,Female,tiffany17@adventure-works.com,2023-04-30,Warrnambool
11069,Carolyn,Navarro,Carolyn Navarro,Female,carolyn30@adventure-works.com,2021-04-17,Gold Coast
11070,Willie,Raji,Willie Raji,Masculine,willie40@adventure-works.com,2021-04-28,Sunbury
11071,Linda,Serrano,Linda Serrano,Female,linda31@adventure-works.com,2023-03-01,Hawthorne
11072,Casey,Luo,Casey Luo,Female,casey6@adventure-works.com,2021-03-31,St. Leonards
11073,Amy,Ye,Amy Ye,Female,amy16@adventure-works.com,2023-03-23,Springwood
11074,Levi,Arun,Levi Arun,Masculine,levi6@adventure-works.com,2023-03-23,Cloverdale
11075,Felicia,Jimenez,Felicia Jimenez,Female,felicia4@adventure-works.com,2021-04-28,Bendigo
11076,Blake,Anderson,Blake Anderson,Masculine,blake9@adventure-works.com,2021-04-21,Wollongong
11077,Leah,Ye,Leah Ye,Female,leah7@adventure-works.com,2021-04-15,Melton
11078,Gina,Martin,Gina Martin,Female,gina1@adventure-works.com,2023-02-15,Cliffside
11079,Donald,Gonzalez,Donald Gonzalez,Masculine,donald20@adventure-works.com,2023-03-15,Geelong
11080,Damien,Chander,Damien Chander,Masculine,damien32@adventure-works.com,2021-04-10,Perth
11081,Savannah,Baker,Savannah Baker,Female,savannah39@adventure-works.com,2023-02-12,Concord
11082,Angela,Butler,Angela Butler,Female,angela17@adventure-works.com,2023-01-22,Fremont
11083,Alyssa,Cox,Alyssa Cox,Female,alyssa37@adventure-works.com,2023-01-06,Lincoln Acres
11084,Lucas,Phillips,Lucas Phillips,Masculine,lucas7@adventure-works.com,2023-01-04,Lebanon
11085,Emily,Johnson,Emily Johnson,Female,emily1@adventure-works.com,2023-12-06,Newport Beach
11086,Ryan,Brown,Ryan Brown,Masculine,ryan43@adventure-works.com,2023-07-02,Santa Monica
11087,Tamara,Liang,Tamara Liang,Female,tamara6@adventure-works.com,2023-02-25,Chula Vista
11088,Hunter,Davis,Hunter Davis,Masculine,hunter64@adventure-works.com,2023-01-13,San Diego
11089,Abigail,Price,Abigail Price,Female,abigail25@adventure-works.com,2022-12-29,Long Beach
11090,Trevor,Bryant,Trevor Bryant,Masculine,trevor18@adventure-works.com,2021-08-07,Los Angeles
11091,Dalton,Perez,Dalton Perez,Masculine,dalton37@adventure-works.com,2023-01-29,Haney
11092,Cheryl,Diaz,Cheryl Diaz,Female,cheryl4@adventure-works.com,2021-04-08,East Brisbane
11093,Aimee,He,Aimee He,Female,aimee13@adventure-works.com,2021-04-07,Wollongong
11094,Cedric,Ma,Cedric Ma,Masculine,cedric15@adventure-works.com,2023-04-07,Cranbourne
11095,Chad,Kumar,Chad Kumar,Masculine,chad9@adventure-works.com,2021-04-01,Port Macquarie
11096,Andrés,Anand,Andrés Anand,Masculine,andrés18@adventure-works.com,2021-04-11,North Sydney
11097,Edwin,Nara,Edwin Nara,Masculine,edwin39@adventure-works.com,2021-04-04,Warrnambool
11098,Mallory,Rubio,Mallory Rubio,Female,mallory7@adventure-works.com,2023-02-11,Rhodes
11099,Adam,Ross,Adam Ross,Masculine,adam2@adventure-works.com,2021-04-07,Port Macquarie
11100,Latasha,Navarro,Latasha Navarro,Female,latasha10@adventure-works.com,2021-04-16,Cloverdale
11101,Abby,Sai,Abby Sai,Female,abby4@adventure-works.com,2021-04-29,Cranbourne
11102,Julia,Nelson,Julia Nelson,Female,julia7@adventure-works.com,2023-07-16,Sydney
11103,Cassie,Chande,Cassie Chande,Female,cassie13@adventure-works.com,2021-04-15,Darlinghurst
11104,Edgar,Sara,Edgar Sara,Masculine,edgar11@adventure-works.com,2021-05-04,Gold Coast
11105,Candace,Fernandez,Candace Fernandez,Female,candace15@adventure-works.com,2021-05-14,Matraville
11106,Jessie,Liu,Jessie Liu,Masculine,jessie9@adventure-works.com,2021-05-18,Warrnambool
11107,Bianca,Lin,Bianca Lin,Female,bianca7@adventure-works.com,2021-05-01,St. Leonards
11108,Kari,Alvarez,Kari Alvarez,Female,kari25@adventure-works.com,2021-05-03,Port Macquarie
11109,Ruben,Kapoor,Ruben Kapoor,Masculine,ruben1@adventure-works.com,2021-05-10,South Melbourne
11110,Curtis,Yang,Curtis Yang,Masculine,curtis5@adventure-works.com,2021-05-01,Darlinghurst
11111,Meredith,Gutierrez,Meredith Gutierrez,Female,meredith34@adventure-works.com,2021-05-20,Geelong
11112,Crystal,Wang,Crystal Wang,Female,crystal3@adventure-works.com,2021-05-25,Hervey Bay
11113,Micheal,Blanco,Micheal Blanco,Masculine,micheal11@adventure-works.com,2023-02-01,Perth
11114,Leslie,Moreno,Leslie Moreno,Female,leslie7@adventure-works.com,2023-03-18,Rhodes
11115,Alvin,Cai,Alvin Cai,Masculine,alvin20@adventure-works.com,2023-02-10,St. Leonards
11116,Clinton,Carlson,Clinton Carlson,Masculine,clinton14@adventure-works.com,2023-03-15,Sydney
11117,April,Deng,April Deng,Female,april1@adventure-works.com,2021-05-06,Matraville
11118,Alvin,Zeng,Alvin Zeng,Masculine,alvin21@adventure-works.com,2023-07-10,Lavender Bay
11119,Evan,James,Evan James,Masculine,evan8@adventure-works.com,2023-02-03,Port Macquarie
11120,Beth,Jiménez,Beth Jiménez,Female,beth8@adventure-works.com,2021-05-14,Sydney
11121,Orlando,Suarez,Orlando Suarez,Masculine,orlando19@adventure-works.com,2023-06-24,Newcastle
11122,Byron,Vazquez,Byron Vazquez,Masculine,byron9@adventure-works.com,2023-02-21,North Sydney
11123,Philip,Alvarez,Philip Alvarez,Masculine,philip4@adventure-works.com,2023-04-17,Sunbury
11124,Ross,Jordan,Ross Jordan,Masculine,ross1@adventure-works.com,2021-05-05,Warrnambool
11125,Dana,Navarro,Dana Navarro,Female,dana2@adventure-works.com,2023-01-31,Seaford
11126,Shaun,Carson,Shaun Carson,Masculine,shaun16@adventure-works.com,2021-05-28,North Ryde
11127,Jan,Edwards,Jan Edwards,Female,jan11@adventure-works.com,2023-04-10,San Gabriel
11128,Samantha,Long,Samantha Long,Female,samantha35@adventure-works.com,2023-06-19,Renton
11129,Julia,Wright,Julia Wright,Female,julia17@adventure-works.com,2021-08-06,Sedro Woolley
11130,Caroline,Russell,Caroline Russell,Female,caroline21@adventure-works.com,2023-12-09,Lebanon
11131,Amanda,Rivera,Amanda Rivera,Female,amanda7@adventure-works.com,2023-10-18,Haney
11132,Melissa,Richardson,Melissa Richardson,Female,melissa31@adventure-works.com,2023-04-09,Langford
11133,Angela,Griffin,Angela Griffin,Female,angela23@adventure-works.com,2023-12-30,Lake Oswego
11134,Larry,Townsend,Larry Townsend,Masculine,larry14@adventure-works.com,2021-05-03,Perth
11135,Marcus,Harris,Marcus Harris,Masculine,marcus14@adventure-works.com,2023-04-18,Burlingame
11136,Brianna,Morgan,Brianna Morgan,Female,brianna30@adventure-works.com,2023-01-03,Metchosin
11137,Jasmine,Taylor,Jasmine Taylor,Female,jasmine7@adventure-works.com,2023-07-31,Spokane
11138,Lauren,Davis,Lauren Davis,Female,lauren23@adventure-works.com,2023-09-19,Glendale
11139,Tanya,Moreno,Tanya Moreno,Female,tanya2@adventure-works.com,2023-09-14,Cloverdale
11140,Javier,Alvarez,Javier Alvarez,Masculine,javier1@adventure-works.com,2023-03-19,Burbank
11141,Nicole,Ramirez,Nicole Ramirez,Female,nicole42@adventure-works.com,2023-05-16,Daly City
11142,Eduardo,Patterson,Eduardo Patterson,Masculine,eduardo55@adventure-works.com,2023-02-13,Langford
11143,Jonathan,Henderson,Jonathan Henderson,Masculine,jonathan4@adventure-works.com,2023-06-15,Lakewood
11144,Edward,Hernandez,Edward Hernandez,Masculine,edward48@adventure-works.com,2023-01-25,Ballard
11145,Jasmine,Coleman,Jasmine Coleman,Female,jasmine46@adventure-works.com,2023-01-25,Beaverton
11146,Karla,Goel,Karla Goel,Female,karla20@adventure-works.com,2023-02-05,Matraville
11147,Ernest,Wu,Ernest Wu,Masculine,ernest6@adventure-works.com,2021-05-13,Warrnambool
11148,Ross,Vazquez,Ross Vazquez,Masculine,ross32@adventure-works.com,2023-03-07,East Brisbane
11149,Theodore,Gill,Theodore Gill,Masculine,theodore14@adventure-works.com,2023-06-04,Hervey Bay
11150,Russell,Shen,Russell Shen,Masculine,russell6@adventure-works.com,2023-03-27,Sunbury
11151,Melinda,Gill,Melinda Gill,Female,melinda9@adventure-works.com,2021-05-15,Sydney
11152,James,Williams,James Williams,Masculine,james77@adventure-works.com,2023-01-09,Puyallup
11153,Angela,James,Angela James,Female,angela34@adventure-works.com,2023-03-29,Renton
11154,Megan,Walker,Megan Walker,Female,megan25@adventure-works.com,2023-01-10,Woodburn
11155,Hunter,Robinson,Hunter Robinson,Masculine,hunter50@adventure-works.com,2023-01-06,Burbank
11156,Maria,Roberts,Maria Roberts,Female,maria47@adventure-works.com,2023-01-08,Lakewood
11157,Hannah,Long,Hannah Long,Female,hannah32@adventure-works.com,2023-07-24,Tacoma
11158,Jason,Wright,Jason Wright,Masculine,jason46@adventure-works.com,2023-01-19,San Gabriel
11159,Brianna,Hughes,Brianna Hughes,Female,brianna57@adventure-works.com,2023-09-08,Woodland Hills
11160,Maurice,Tang,Maurice Tang,Masculine,maurice4@adventure-works.com,2023-02-21,Concord
11161,Emily,Wood,Emily Wood,Female,emily27@adventure-works.com,2023-06-01,Concord
11162,Chase,Cox,Chase Cox,Masculine,chase10@adventure-works.com,2023-02-18,La Jolla
11163,Gabriel,Wang,Gabriel Wang,Masculine,gabriel21@adventure-works.com,2023-05-01,Spring Valley
11164,Devin,Brooks,Devin Brooks,Masculine,devin63@adventure-works.com,2023-04-27,Torrance
11165,Jocelyn,Alexander,Jocelyn Alexander,Female,jocelyn18@adventure-works.com,2023-05-25,Oakland
11166,Ashley,Martinez,Ashley Martinez,Female,ashley18@adventure-works.com,2023-10-14,Olympia
11167,Jasmine,Barnes,Jasmine Barnes,Female,jasmine43@adventure-works.com,2023-01-07,Issaquah
11168,David,Rodriguez,David Rodriguez,Masculine,david83@adventure-works.com,2023-01-15,Oakland
11169,Bryce,Richardson,Bryce Richardson,Masculine,bryce8@adventure-works.com,2023-05-26,Coronado
11170,Carol,Howard,Carol Howard,Female,carol5@adventure-works.com,2023-08-26,Burien
11171,Jonathan,Hill,Jonathan Hill,Masculine,jonathan43@adventure-works.com,2021-08-20,Woodland Hills
11172,Gabrielle,Adams,Gabrielle Adams,Female,gabrielle58@adventure-works.com,2023-05-03,Lynnwood
11173,Sarah,Thomas,Sarah Thomas,Female,sarah13@adventure-works.com,2023-03-02,W. Linn
11174,Nicholas,Robinson,Nicholas Robinson,Masculine,nicholas19@adventure-works.com,2023-07-13,Los Angeles
11175,Luis,Wang,Luis Wang,Masculine,luis24@adventure-works.com,2021-08-28,Beverly Hills
11176,Mason,Roberts,Mason Roberts,Masculine,mason25@adventure-works.com,2023-02-02,Haney
11177,Jose,Flores,Jose Flores,Masculine,jose6@adventure-works.com,2023-03-29,San Diego
11178,Nathan,Johnson,Nathan Johnson,Masculine,nathan55@adventure-works.com,2023-02-21,Lakewood
11179,Molly,Rodriguez,Molly Rodriguez,Female,molly18@adventure-works.com,2023-03-12,Beverly Hills
11180,April,Anand,April Anand,Female,april18@adventure-works.com,2023-03-17,Chula Vista
11181,Devin,Martin,Devin Martin,Masculine,devin13@adventure-works.com,2023-05-07,Los Angeles
11182,Stephanie,Torres,Stephanie Torres,Female,stephanie19@adventure-works.com,2023-08-28,Sedro Woolley
11183,Jasmine,Lee,Jasmine Lee,Female,jasmine19@adventure-works.com,2023-04-30,Santa Cruz
11184,Meghan,Hernandez,Meghan Hernandez,Female,meghan3@adventure-works.com,2023-08-10,Concord
11185,Ashley,Henderson,Ashley Henderson,Female,ashley31@adventure-works.com,2023-02-21,Metchosin
11186,Sarah,Price,Sarah Price,Female,sarah25@adventure-works.com,2023-10-18,Palo Alto
11187,Jennifer,Cooper,Jennifer Cooper,Female,jennifer63@adventure-works.com,2023-04-03,Burien
11188,Catherine,Morris,Catherine Morris,Female,catherine16@adventure-works.com,2023-11-01,San Gabriel
11189,Lawrence,Blanco,Lawrence Blanco,Masculine,lawrence14@adventure-works.com,2021-08-26,Bellingham
11190,Carson,Bryant,Carson Bryant,Masculine,carson17@adventure-works.com,2023-08-28,Beverly Hills
11191,Kristi,Perez,Kristi Perez,Female,kristi39@adventure-works.com,2021-08-11,Colma
11192,James,Brown,James Brown,Masculine,james79@adventure-works.com,2023-06-23,Seattle
11193,Ian,Gray,Ian Gray,Masculine,ian72@adventure-works.com,2023-02-25,Woodburn
11194,Jacqueline,Price,Jacqueline Price,Female,jacqueline0@adventure-works.com,2023-03-13,Palo Alto
11195,Megan,Henderson,Megan Henderson,Female,megan55@adventure-works.com,2023-04-14,Renton
11196,Alfredo,Romero,Alfredo Romero,Masculine,alfredo10@adventure-works.com,2023-03-03,Beaverton
11197,Andrea,Morris,Andrea Morris,Female,andrea18@adventure-works.com,2023-05-02,Seattle
11198,Brooke,Sanders,Brooke Sanders,Female,brooke3@adventure-works.com,2023-02-05,Santa Cruz
11199,Jacqueline,Bennett,Jacqueline Bennett,Female,jacqueline1@adventure-works.com,2023-03-18,Burlingame
11200,Jason,Griffin,Jason Griffin,Masculine,jason18@adventure-works.com,2023-02-07,Victoria
11201,Amanda,Foster,Amanda Foster,Female,amanda37@adventure-works.com,2023-07-01,Santa Monica
11202,Alexia,Price,Alexia Price,Female,alexia0@adventure-works.com,2023-09-15,Lakewood
11203,Luis,Diaz,Luis Diaz,Masculine,luis21@adventure-works.com,2023-02-20,Port Hammond
11204,Destiny,Rivera,Destiny Rivera,Female,destiny33@adventure-works.com,2023-08-09,Beaverton
11205,Abby,Fernandez,Abby Fernandez,Female,abby13@adventure-works.com,2023-07-27,Burien
11206,Blake,Flores,Blake Flores,Masculine,blake60@adventure-works.com,2023-05-11,Lynnwood
11207,Danielle,Cox,Danielle Cox,Female,danielle12@adventure-works.com,2023-01-31,Renton
11208,Maria,Reed,Maria Reed,Female,maria4@adventure-works.com,2023-03-04,Glendale
11209,Allison,Evans,Allison Evans,Female,allison21@adventure-works.com,2023-03-25,Lincoln Acres
11210,Edward,Wood,Edward Wood,Masculine,edward50@adventure-works.com,2023-05-06,West Covina
11211,Samantha,Russell,Samantha Russell,Female,samantha42@adventure-works.com,2023-02-01,Haney
11212,Chloe,Campbell,Chloe Campbell,Female,chloe4@adventure-works.com,2023-01-30,Metchosin
11213,Stephanie,Murphy,Stephanie Murphy,Female,stephanie11@adventure-works.com,2023-03-28,Edmonds
11214,Charles,Miller,Charles Miller,Masculine,charles9@adventure-works.com,2023-08-14,Milwaukie
11215,Ana,Perry,Ana Perry,Female,ana7@adventure-works.com,2023-02-15,Royal Oak
11216,Jasmine,Torres,Jasmine Torres,Female,jasmine32@adventure-works.com,2021-08-15,Portland
11217,Natalie,Adams,Natalie Adams,Female,natalie58@adventure-works.com,2021-08-10,Portland
11218,Olivia,Brown,Olivia Brown,Female,olivia4@adventure-works.com,2023-02-28,Tacoma
11219,Charles,Cook,Charles Cook,Masculine,charles69@adventure-works.com,2023-10-29,Woodburn
11220,Erica,Huang,Erica Huang,Female,erica5@adventure-works.com,2023-03-14,Colma
11221,Nathan,Perry,Nathan Perry,Masculine,nathan3@adventure-works.com,2023-04-07,Lakewood
11222,Alexandra,Rivera,Alexandra Rivera,Female,alexandra11@adventure-works.com,2023-11-01,Santa Monica
11223,Hailey,Patterson,Hailey Patterson,Female,hailey30@adventure-works.com,2023-01-29,Langley
11224,Tiffany,Li,Tiffany Li,Female,tiffany3@adventure-works.com,2021-08-07,Burien
11225,Madison,Lee,Madison Lee,Female,madison22@adventure-works.com,2023-06-22,Renton
11226,Sydney,Ross,Sydney Ross,Female,sydney26@adventure-works.com,2023-02-21,W. Linn
11227,Marshall,Chavez,Marshall Chavez,Masculine,marshall35@adventure-works.com,2021-08-03,Colma
11228,Ashley,Jones,Ashley Jones,Female,ashley3@adventure-works.com,2023-10-25,El Cajon
11229,Adrian,Stewart,Adrian Stewart,Masculine,adrian21@adventure-works.com,2023-07-27,Redwood City
11230,Amber,Turner,Amber Turner,Female,amber4@adventure-works.com,2023-07-16,Santa Monica
11231,Dennis,Zhang,Dennis Zhang,Masculine,dennis1@adventure-works.com,2023-02-10,Bremerton
11232,Hailey,Bryant,Hailey Bryant,Female,hailey38@adventure-works.com,2023-09-20,Everett
11233,Todd,Li,Todd Li,Masculine,todd5@adventure-works.com,2023-02-08,Berkeley
11234,Anna,Griffin,Anna Griffin,Female,anna46@adventure-works.com,2023-02-08,Long Beach
11235,Angel,Stewart,Angel Stewart,Masculine,angel24@adventure-works.com,2023-07-04,Ballard
11236,Jeremy,Butler,Jeremy Butler,Masculine,jeremy29@adventure-works.com,2023-10-03,Bellingham
11237,Clarence,Anand,Clarence Anand,Masculine,clarence36@adventure-works.com,2021-09-05,Solingen
11238,Mayra,Prasad,Mayra Prasad,Female,mayra9@adventure-works.com,2021-01-06,Birmingham
11239,Latoya,Goel,Latoya Goel,Female,latoya18@adventure-works.com,2021-01-19,London
11240,Anne,Hernandez,Anne Hernandez,Female,anne4@adventure-works.com,2021-02-27,Watford
11241,Lisa,Cai,Lisa Cai,Female,lisa24@adventure-works.com,2022-09-10,Les Ulis
11242,Larry,Munoz,Larry Munoz,Masculine,larry9@adventure-works.com,2022-09-19,Versailles
11243,Robin,Alvarez,Robin Alvarez,Female,robin2@adventure-works.com,2021-02-21,Esher-Molesey
11244,Alexis,Coleman,Alexis Coleman,Female,alexis28@adventure-works.com,2021-02-12,Runcorn
11245,Ricky,Vazquez,Ricky Vazquez,Masculine,ricky15@adventure-works.com,2021-09-26,Hamburg
11246,Latasha,Rubio,Latasha Rubio,Female,latasha21@adventure-works.com,2021-10-03,Hamburg
11247,Claudia,Zhou,Claudia Zhou,Female,claudia7@adventure-works.com,2021-02-18,Lancaster
11248,Tristan,Alexander,Tristan Alexander,Masculine,tristan19@adventure-works.com,2023-07-14,Saint-Denis
11249,Cindy,Patel,Cindy Patel,Female,cindy3@adventure-works.com,2021-10-09,Sulzbach Taunus
11250,Shannon,Liu,Shannon Liu,Female,shannon4@adventure-works.com,2021-03-17,Woolston
11251,Xavier,Long,Xavier Long,Masculine,xavier51@adventure-works.com,2023-10-18,Haney
11252,Nicholas,Thompson,Nicholas Thompson,Masculine,nicholas16@adventure-works.com,2021-08-14,Lemon Grove
11253,José,Hernandez,José Hernandez,Masculine,josé54@adventure-works.com,2023-03-01,Victoria
11254,Johnathan,Vance,Johnathan Vance,Masculine,johnathan5@adventure-works.com,2023-11-23,Burien
11255,Colin,Lin,Colin Lin,Masculine,colin8@adventure-works.com,2023-02-23,Burien
11256,Katelyn,Hernandez,Katelyn Hernandez,Female,katelyn42@adventure-works.com,2023-04-15,Lynnwood
11257,Jacqueline,Powell,Jacqueline Powell,Female,jacqueline9@adventure-works.com,2021-08-24,Newport Beach
11258,Xavier,Hill,Xavier Hill,Masculine,xavier26@adventure-works.com,2023-05-21,Palo Alto
11259,Victoria,Stewart,Victoria Stewart,Female,victoria24@adventure-works.com,2021-09-04,Salem
11260,Katelyn,Kelly,Katelyn Kelly,Female,katelyn1@adventure-works.com,2023-02-05,Burlingame
11261,Stephanie,Collins,Stephanie Collins,Female,stephanie52@adventure-works.com,2021-09-27,San Diego
11262,Jennifer,Simmons,Jennifer Simmons,Female,jennifer88@adventure-works.com,2023-02-27,Port Hammond
11263,Trinity,Richardson,Trinity Richardson,Female,trinity9@adventure-works.com,2021-08-29,Burien
11264,Eduardo,Martin,Eduardo Martin,Masculine,eduardo13@adventure-works.com,2023-01-02,Issaquah
11265,Elizabeth,Jones,Elizabeth Jones,Female,elizabeth7@adventure-works.com,2023-01-03,Kirkland
11266,Taylor,Howard,Taylor Howard,Female,taylor14@adventure-works.com,2021-09-10,Port Orchard
11267,David,Diaz,David Diaz,Masculine,david55@adventure-works.com,2021-09-17,Burlingame
11268,Katelyn,Carter,Katelyn Carter,Female,katelyn33@adventure-works.com,2023-05-29,Coronado
11269,Ryan,Foster,Ryan Foster,Masculine,ryan19@adventure-works.com,2023-08-22,Daly City
11270,Robert,Lee,Robert Lee,Masculine,robert82@adventure-works.com,2021-09-10,Lakewood
11271,Danielle,Reed,Danielle Reed,Female,danielle23@adventure-works.com,2021-09-27,San Francisco
11272,Lauren,Martinez,Lauren Martinez,Female,lauren35@adventure-works.com,2021-09-19,Beverly Hills
11273,Nathan,Lal,Nathan Lal,Masculine,nathan26@adventure-works.com,2023-05-14,La Jolla
11274,Kyle,Foster,Kyle Foster,Masculine,kyle11@adventure-works.com,2021-08-29,Bellingham
11275,Jenny,Rai,Jenny Rai,Female,jenny40@adventure-works.com,2021-08-30,Colma
